Número de oraciones principales con sujeto antepuesto: 8182
Número de oraciones principales sin sujeto antepuesto: 9520

Porcentaje de oraciones con sujeto antepuesto: 46.22 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
| 49_20001001_ssd_forms_annotated.conllu      |                    1 |                 0 |                    0    |
| 140_20011102_ssd_forms_annotated.conllu     |                   16 |                 3 |                   15.79 |
| 67_20000902_ssd_forms_annotated.conllu      |                    4 |                12 |                   75    |
| a15-7_ssd_forms_annotated.conllu            |                   13 |                 2 |                   13.33 |
| 3_20020103_ssd_forms_annotated.conllu       |                    1 |                 2 |                   66.67 |
| 3847_20000605_ssd_forms_annotated.conllu    |                    7 |                 7 |                   50    |
| 110_20000401_ssd_forms_annotated.conllu     |                    1 |                12 |                   92.31 |
| 3365_20000405_ssd_forms_annotated.conllu    |                    5 |                 2 |                   28.57 |
| 13_20000802_ssd_forms_annotated.conllu      |                    5 |                 3 |                   37.5  |
| 11_20000801_ssd_forms_annotated.conllu      |                    4 |                 1 |                   20    |
| 33_20010601_ssd_forms_annotated.conllu      |                    1 |                 0 |                    0    |
| 76_20010602_ssd_forms_annotated.conllu      |                    6 |                 6 |                   50    |
| 15355_20001120_ssd_forms_annotated.conllu   |                    4 |                 9 |                   69.23 |
| 17909_20000222_ssd_forms_annotated.conllu   |                    6 |                 4 |                   40    |
| 8039_20000610_ssd_forms_annotated.conllu    |                   10 |                 5 |                   33.33 |
| 106_20000201_ssd_forms_annotated.conllu     |                    1 |                 1 |                   50    |
| 20450_20000325_ssd_forms_annotated.conllu   |                    8 |                 5 |                   38.46 |
| 98_19990601_ssd_forms_annotated.conllu      |                    6 |                 6 |                   50    |
| a27-0_ssd_forms_annotated.conllu            |                   11 |                 7 |                   38.89 |
| 32_19981202_ssd_forms_annotated.conllu      |                    5 |                 3 |                   37.5  |
| 75_19981202_ssd_forms_annotated.conllu      |                    1 |                 2 |                   66.67 |
| 12547_20000119_ssd_forms_annotated.conllu   |                    6 |                 1 |                   14.29 |
| 11465_20000214_ssd_forms_annotated.conllu   |                    4 |                 5 |                   55.56 |
| dc2-9_ssd_forms_annotated.conllu            |                    1 |                 9 |                   90    |
| 9_20010701_ssd_forms_annotated.conllu       |                    2 |                 0 |                    0    |
| 12746_20000615_ssd_forms_annotated.conllu   |                    3 |                 2 |                   40    |
| e3-3_ssd_forms_annotated.conllu             |                    2 |                 5 |                   71.43 |
| 61_20000601_ssd_forms_annotated.conllu      |                    3 |                13 |                   81.25 |
| 156_20010202_ssd_forms_annotated.conllu     |                    1 |                 1 |                   50    |
| 52_20000701_ssd_forms_annotated.conllu      |                    3 |                 1 |                   25    |
| 151_19990702_a_ssd_forms_annotated.conllu   |                    9 |                 2 |                   18.18 |
| 136_20010501_ssd_forms_annotated.conllu     |                    6 |                 6 |                   50    |
| 2000060211_6-3_ssd_forms_annotated.conllu   |                    3 |                 4 |                   57.14 |
| 66_19990601_ssd_forms_annotated.conllu      |                    8 |                13 |                   61.9  |
| 12_20000903_ssd_forms_annotated.conllu      |                    9 |                 2 |                   18.18 |
| 135_19981201_b_ssd_forms_annotated.conllu   |                    1 |                 3 |                   75    |
| 55_20000903_ssd_forms_annotated.conllu      |                    9 |                 7 |                   43.75 |
| 118_20011202_ssd_forms_annotated.conllu     |                   16 |                11 |                   40.74 |
| dc2-5_ssd_forms_annotated.conllu            |                    4 |                 6 |                   60    |
| 121_19991202_c_ssd_forms_annotated.conllu   |                    1 |                 2 |                   66.67 |
| 20613_20000428_ssd_forms_annotated.conllu   |                   11 |                 4 |                   26.67 |
| 15362_20001120_ssd_forms_annotated.conllu   |                    3 |                 4 |                   57.14 |
| 6013_20000408_ssd_forms_annotated.conllu    |                    3 |                11 |                   78.57 |
| 93_20001001_ssd_forms_annotated.conllu      |                    8 |                14 |                   63.64 |
| 145_20011202_b_ssd_forms_annotated.conllu   |                    3 |                 3 |                   50    |
| 73_20000201_g_ssd_forms_annotated.conllu    |                    2 |                 2 |                   50    |
| 8934_20000912_ssd_forms_annotated.conllu    |                    1 |                10 |                   90.91 |
| 16_20001002_a_ssd_forms_annotated.conllu    |                    3 |                 2 |                   40    |
| 10268_20000413_ssd_forms_annotated.conllu   |                   10 |                11 |                   52.38 |
| 47_20000602_ssd_forms_annotated.conllu      |                    7 |                 5 |                   41.67 |
| 1_20020901_ssd_forms_annotated.conllu       |                   15 |                11 |                   42.31 |
| 4842_20000606_ssd_forms_annotated.conllu    |                    3 |                15 |                   83.33 |
| 7351_20000911_ssd_forms_annotated.conllu    |                    1 |                 5 |                   83.33 |
| 19377_20000323_ssd_forms_annotated.conllu   |                    5 |                 9 |                   64.29 |
| 81_20000201_ssd_forms_annotated.conllu      |                    7 |                 7 |                   50    |
| 160_20011002_ssd_forms_annotated.conllu     |                   10 |                 4 |                   28.57 |
| t4-3_ssd_forms_annotated.conllu             |                    6 |                 6 |                   50    |
| 65_20010602_ssd_forms_annotated.conllu      |                    4 |                 5 |                   55.56 |
| 36_19990901_ssd_forms_annotated.conllu      |                   10 |                 7 |                   41.18 |
| n1-3_ssd_forms_annotated.conllu             |                   14 |                 5 |                   26.32 |
| r2-12_ssd_forms_annotated.conllu            |                    3 |                 1 |                   25    |
| 18_19990602_b_ssd_forms_annotated.conllu    |                    5 |                 1 |                   16.67 |
| 71_19990901_ssd_forms_annotated.conllu      |                    2 |                 3 |                   60    |
| 95_20000402_ssd_forms_annotated.conllu      |                    2 |                 0 |                    0    |
| 150_20000202_ssd_forms_annotated.conllu     |                    0 |                 1 |                  100    |
| c1-0_ssd_forms_annotated.conllu             |                    9 |                 6 |                   40    |
| 18465_20001023_ssd_forms_annotated.conllu   |                    6 |                14 |                   70    |
| 17821_20001223_ssd_forms_annotated.conllu   |                    1 |                 3 |                   75    |
| 36_20000903_ssd_forms_annotated.conllu      |                   34 |                14 |                   29.17 |
| 121_20010401_ssd_forms_annotated.conllu     |                    2 |                 1 |                   33.33 |
| 71_20000903_ssd_forms_annotated.conllu      |                   10 |                 3 |                   23.08 |
| 5244_20000908_ssd_forms_annotated.conllu    |                    7 |                12 |                   63.16 |
| t1-5_ssd_forms_annotated.conllu             |                    7 |                 4 |                   36.36 |
| 110_20010502_ssd_forms_annotated.conllu     |                    0 |                 3 |                  100    |
| 129_20000702_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 15071_20000218_ssd_forms_annotated.conllu   |                    0 |                 2 |                  100    |
| 14699_20001018_ssd_forms_annotated.conllu   |                    4 |                 2 |                   33.33 |
| 148_20010602_ssd_forms_annotated.conllu     |                    2 |                 0 |                    0    |
| 57_20000401_b_ssd_forms_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 22863_20001129_ssd_forms_annotated.conllu   |                   10 |                 8 |                   44.44 |
| dc1-2_ssd_forms_annotated.conllu            |                    6 |                 7 |                   53.85 |
| 14353_20000618_ssd_forms_annotated.conllu   |                    7 |                 4 |                   36.36 |
| dc1-13_ssd_forms_annotated.conllu           |                    5 |                 7 |                   58.33 |
| 8203_20000210_ssd_forms_annotated.conllu    |                    3 |                 2 |                   40    |
| 16532_20001020_ssd_forms_annotated.conllu   |                    7 |                 2 |                   22.22 |
| 102_20010202_ssd_forms_annotated.conllu     |                    9 |                 9 |                   50    |
| 15346_20000420_ssd_forms_annotated.conllu   |                    3 |                 6 |                   66.67 |
| 21609_20001127_ssd_forms_annotated.conllu   |                    8 |                 7 |                   46.67 |
| 63_20010901_ssd_forms_annotated.conllu      |                    2 |                12 |                   85.71 |
| 25451_20000531_ssd_forms_annotated.conllu   |                    2 |                 5 |                   71.43 |
| 27_20020801_b_ssd_forms_annotated.conllu    |                    2 |                 7 |                   77.78 |
| 21333_20000326_b_ssd_forms_annotated.conllu |                    2 |                 2 |                   50    |
| 68_19991002_ssd_forms_annotated.conllu      |                    0 |                 1 |                  100    |
| 35_20000202_b_ssd_forms_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 13703_20000518_ssd_forms_annotated.conllu   |                   19 |                 7 |                   26.92 |
| 10168_20000212_ssd_forms_annotated.conllu   |                    4 |                 3 |                   42.86 |
| 39_20011102_ssd_forms_annotated.conllu      |                    0 |                 1 |                  100    |
| 19_19990602_b_ssd_forms_annotated.conllu    |                    3 |                 1 |                   25    |
| 2_19981101_ssd_forms_annotated.conllu       |                    5 |                 2 |                   28.57 |
| 12_19990401_ssd_forms_annotated.conllu      |                    4 |                 1 |                   20    |
| 115_20020202_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| dc1-14_ssd_forms_annotated.conllu           |                    5 |                 5 |                   50    |
| 13241_20000216_ssd_forms_annotated.conllu   |                    5 |                 7 |                   58.33 |
| 20165_20000224_ssd_forms_annotated.conllu   |                   13 |                 2 |                   13.33 |
| 21333_20000326_i_ssd_forms_annotated.conllu |                    1 |                 2 |                   66.67 |
| 2_20020302_ssd_forms_annotated.conllu       |                    0 |                 4 |                  100    |
| 41_20010502_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| 57_20000401_e_ssd_forms_annotated.conllu    |                    2 |                 1 |                   33.33 |
| 1508_20000403_ssd_forms_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 2000060111_5-2_ssd_forms_annotated.conllu   |                    4 |                 9 |                   69.23 |
| 4496_20000109_ssd_forms_annotated.conllu    |                    6 |                 8 |                   57.14 |
| dc1-5_ssd_forms_annotated.conllu            |                    2 |                 8 |                   80    |
| dc1-9_ssd_forms_annotated.conllu            |                    3 |                 7 |                   70    |
| 5124_20000307_ssd_forms_annotated.conllu    |                    7 |                 2 |                   22.22 |
| 91_20010901_ssd_forms_annotated.conllu      |                    1 |                 1 |                   50    |
| 19_19990602_e_ssd_forms_annotated.conllu    |                    5 |                 1 |                   16.67 |
| 1_20000702_ssd_forms_annotated.conllu       |                    6 |                 7 |                   53.85 |
| 17195_20001021_ssd_forms_annotated.conllu   |                    6 |                 6 |                   50    |
| 35_20000202_e_ssd_forms_annotated.conllu    |                    1 |                 3 |                   75    |
| 111_20010102_ssd_forms_annotated.conllu     |                    2 |                 0 |                    0    |
| 21333_20000326_e_ssd_forms_annotated.conllu |                    1 |                 4 |                   80    |
| 21717_20000327_ssd_forms_annotated.conllu   |                    3 |                 7 |                   70    |
| 22739_20001027_ssd_forms_annotated.conllu   |                    0 |                 3 |                  100    |
| 79_20020301_ssd_forms_annotated.conllu      |                    4 |                 0 |                    0    |
| 37_19990301_ssd_forms_annotated.conllu      |                   13 |                 8 |                   38.1  |
| 10_20020102_ssd_forms_annotated.conllu      |                    0 |                 3 |                  100    |
| 8933_20000211_ssd_forms_annotated.conllu    |                    2 |                 7 |                   77.78 |
| n1-8_ssd_forms_annotated.conllu             |                    9 |                 7 |                   43.75 |
| t4-4_ssd_forms_annotated.conllu             |                   11 |                 4 |                   26.67 |
| 20551_20000128_ssd_forms_annotated.conllu   |                    1 |                 2 |                   66.67 |
| 91_20020501_ssd_forms_annotated.conllu      |                    3 |                 2 |                   40    |
| c4-1_ssd_forms_annotated.conllu             |                    6 |                 5 |                   45.45 |
| 159_20011001_ssd_forms_annotated.conllu     |                    1 |                 1 |                   50    |
| 108_20000601_a_ssd_forms_annotated.conllu   |                    6 |                 8 |                   57.14 |
| 10591_20001013_ssd_forms_annotated.conllu   |                    5 |                10 |                   66.67 |
| 101_20010601_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 25_19990401_ssd_forms_annotated.conllu      |                    4 |                 6 |                   60    |
| 21423_20000428_ssd_forms_annotated.conllu   |                    6 |                 6 |                   50    |
| t1-2_ssd_forms_annotated.conllu             |                   10 |                 2 |                   16.67 |
| 24822_20001030_ssd_forms_annotated.conllu   |                    6 |                 3 |                   33.33 |
| 57_20000601_a_ssd_forms_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 24984_20000630_ssd_forms_annotated.conllu   |                   12 |                 5 |                   29.41 |
| 13108_20000120_ssd_forms_annotated.conllu   |                    1 |                 6 |                   85.71 |
| n1-4_ssd_forms_annotated.conllu             |                   13 |                 1 |                    7.14 |
| 13507_20000918_ssd_forms_annotated.conllu   |                    6 |                 4 |                   40    |
| 18_19990602_e_ssd_forms_annotated.conllu    |                    4 |                 2 |                   33.33 |
| t4-8_ssd_forms_annotated.conllu             |                    6 |                 4 |                   40    |
| 83_19990701_ssd_forms_annotated.conllu      |                    7 |                 2 |                   22.22 |
| 2000060204_5-3_ssd_forms_annotated.conllu   |                    3 |                15 |                   83.33 |
| 13252_20000216_ssd_forms_annotated.conllu   |                    2 |                 4 |                   66.67 |
| 1617_20000703_ssd_forms_annotated.conllu    |                    2 |                 8 |                   80    |
| 20131_20000224_ssd_forms_annotated.conllu   |                   15 |                 7 |                   31.82 |
| 2765_20000303_ssd_forms_annotated.conllu    |                    1 |                 3 |                   75    |
| 32_19990501_ssd_forms_annotated.conllu      |                   12 |                 4 |                   25    |
| 12633_20000315_ssd_forms_annotated.conllu   |                    7 |                 7 |                   50    |
| 14709_20000419_ssd_forms_annotated.conllu   |                    2 |                 5 |                   71.43 |
| 69_20000701_ssd_forms_annotated.conllu      |                    1 |                12 |                   92.31 |
| 8368_20000310_ssd_forms_annotated.conllu    |                    5 |                 8 |                   61.54 |
| 2000060104_5-2_ssd_forms_annotated.conllu   |                    6 |                 5 |                   45.45 |
| 120_20000102_ssd_forms_annotated.conllu     |                    7 |                 5 |                   41.67 |
| 26133_20000930_ssd_forms_annotated.conllu   |                   12 |                 8 |                   40    |
| dc2-2_ssd_forms_annotated.conllu            |                    7 |                 3 |                   30    |
| 121_19991202_d_ssd_forms_annotated.conllu   |                    1 |                 2 |                   66.67 |
| d1-10_ssd_forms_annotated.conllu            |                    5 |                 6 |                   54.55 |
| 179_20010401_ssd_forms_annotated.conllu     |                    7 |                 3 |                   30    |
| 94_19990601_ssd_forms_annotated.conllu      |                    5 |                17 |                   77.27 |
| 8873_20000412_ssd_forms_annotated.conllu    |                    4 |                 7 |                   63.64 |
| 134_20000701_ssd_forms_annotated.conllu     |                   16 |                10 |                   38.46 |
| 3_19990102_ssd_forms_annotated.conllu       |                   14 |                14 |                   50    |
| 67_20011001_ssd_forms_annotated.conllu      |                    3 |                 3 |                   50    |
| 17_19990201_ssd_forms_annotated.conllu      |                    4 |                 5 |                   55.56 |
| 15_19990202_ssd_forms_annotated.conllu      |                   11 |                 7 |                   38.89 |
| 2531_20000303_ssd_forms_annotated.conllu    |                    4 |                 4 |                   50    |
| 106_19991202_ssd_forms_annotated.conllu     |                   14 |                 6 |                   30    |
| 7_20020502_ssd_forms_annotated.conllu       |                    2 |                 4 |                   66.67 |
| 54_20011101_ssd_forms_annotated.conllu      |                    6 |                 8 |                   57.14 |
| 44_20020102_ssd_forms_annotated.conllu      |                    4 |                 1 |                   20    |
| 17451_20000522_ssd_forms_annotated.conllu   |                    9 |                 3 |                   25    |
| 8396_20000310_ssd_forms_annotated.conllu    |                    5 |                 8 |                   61.54 |
| c2-0_ssd_forms_annotated.conllu             |                    8 |                 4 |                   33.33 |
| 14498_20000121_ssd_forms_annotated.conllu   |                    5 |                 1 |                   16.67 |
| a15-0_ssd_forms_annotated.conllu            |                   11 |                 6 |                   35.29 |
| a22-1_ssd_forms_annotated.conllu            |                   14 |                 3 |                   17.65 |
| 111_19981201_ssd_forms_annotated.conllu     |                    1 |                 2 |                   66.67 |
| 80_20011202_ssd_forms_annotated.conllu      |                    1 |                 1 |                   50    |
| 25491_20000331_ssd_forms_annotated.conllu   |                    1 |                 3 |                   75    |
| 82_20011201_ssd_forms_annotated.conllu      |                    7 |                 2 |                   22.22 |
| 13959_20000217_ssd_forms_annotated.conllu   |                   12 |                 5 |                   29.41 |
| 10127_20001013_ssd_forms_annotated.conllu   |                   13 |                14 |                   51.85 |
| 49_20020502_ssd_forms_annotated.conllu      |                    3 |                 3 |                   50    |
| 16_20020601_a_ssd_forms_annotated.conllu    |                    1 |                 1 |                   50    |
| 54_20010802_a_ssd_forms_annotated.conllu    |                    2 |                 3 |                   60    |
| 24699_20000229_ssd_forms_annotated.conllu   |                    2 |                 4 |                   66.67 |
| 99_20011001_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| 41_20020103_ssd_forms_annotated.conllu      |                    6 |                 4 |                   40    |
| 96_20020302_ssd_forms_annotated.conllu      |                    4 |                 1 |                   20    |
| 2418_20001104_ssd_forms_annotated.conllu    |                   10 |                 8 |                   44.44 |
| 17_20011001_ssd_forms_annotated.conllu      |                   23 |                14 |                   37.84 |
| 16230_20000220_ssd_forms_annotated.conllu   |                   18 |                 4 |                   18.18 |
| 187_20010401_ssd_forms_annotated.conllu     |                    8 |                 9 |                   52.94 |
| 84_20010802_ssd_forms_annotated.conllu      |                    0 |                 1 |                  100    |
| 16977_20000722_ssd_forms_annotated.conllu   |                    3 |                 8 |                   72.73 |
| 20751_20000128_ssd_forms_annotated.conllu   |                    5 |                 4 |                   44.44 |
| 44_19991102_ssd_forms_annotated.conllu      |                   10 |                 8 |                   44.44 |
| 8417_20000310_ssd_forms_annotated.conllu    |                    0 |                 5 |                  100    |
| e2-1_ssd_forms_annotated.conllu             |                    4 |                 7 |                   63.64 |
| 14944_20000318_ssd_forms_annotated.conllu   |                    6 |                 8 |                   57.14 |
| 22_20020301_ssd_forms_annotated.conllu      |                    1 |                 2 |                   66.67 |
| 107_20000202_ssd_forms_annotated.conllu     |                    1 |                 6 |                   85.71 |
| 8_20020502_ssd_forms_annotated.conllu       |                    2 |                 1 |                   33.33 |
