Número de oraciones principales con sujeto antepuesto: 3052
Número de oraciones principales sin sujeto antepuesto: 4659

Porcentaje de oraciones con sujeto antepuesto: 39.58 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
| en_wr_20_17_3_1_kah_annotated.conllu   |                   11 |                12 |                   52.17 |
| en_wr_17_15_2_1_shh_annotated.conllu   |                    5 |                 1 |                   16.67 |
| en_wr_15_16_3_4_qx_annotated.conllu    |                    8 |                 5 |                   38.46 |
| en_wr_17_19_4_2_crs_annotated.conllu   |                   12 |                 5 |                   29.41 |
| en_wr_19_22_2_6_tjw_annotated.conllu   |                   25 |                 6 |                   19.35 |
| en_wr_19_15_2_1_jlr_annotated.conllu   |                    5 |                 2 |                   28.57 |
| en_wr_19_25_2_1_ba_annotated.conllu    |                   14 |                 4 |                   22.22 |
| en_wr_14_16_2_4_djh_annotated.conllu   |                    8 |                 3 |                   27.27 |
| en_wr_19_17_4_5_jm_annotated.conllu    |                   41 |                12 |                   22.64 |
| en_wr_16_14_4_4_cal_annotated.conllu   |                   12 |                 1 |                    7.69 |
| en_wr_17_16_2_1_ejw_annotated.conllu   |                    4 |                 2 |                   33.33 |
| en_wr_20_19_1_2_kc_annotated.conllu    |                    2 |                 4 |                   66.67 |
| en_wr_19_19_3_1_sb_annotated.conllu    |                    7 |                 2 |                   22.22 |
| en_wr_19_21_1_5_clc_annotated.conllu   |                   39 |                 9 |                   18.75 |
| en_wr_18_21_1_1_es_annotated.conllu    |                   12 |                 7 |                   36.84 |
| en_wr_18_20_1_1_lf_annotated.conllu    |                    5 |                 1 |                   16.67 |
| en_wr_12_23_1_4_tw_annotated.conllu    |                    3 |                 0 |                    0    |
| en_wr_12_15_2_1_jk_annotated.conllu    |                   17 |                 0 |                    0    |
| en_wr_19_21_1_5_ldw_annotated.conllu   |                   25 |                21 |                   45.65 |
| en_wr_14_27_1_5_lw_annotated.conllu    |                   23 |                 4 |                   14.81 |
| en_wr_19_16_5_1_at_annotated.conllu    |                    6 |                 1 |                   14.29 |
| en_wr_16_20_2_1_ads_annotated.conllu   |                    4 |                 2 |                   33.33 |
| en_wr_12_17_3_1_jam_annotated.conllu   |                    7 |                 8 |                   53.33 |
| en_wr_12_19_4_2_bgr_annotated.conllu   |                   18 |                19 |                   51.35 |
| en_wr_20_16_2_4_dat_annotated.conllu   |                   10 |                 2 |                   16.67 |
| en_wr_20_16_3_1_nas_annotated.conllu   |                   11 |                24 |                   68.57 |
| en_wr_15_38_3_1_pdh_annotated.conllu   |                    8 |                10 |                   55.56 |
| en_wr_17_20_4_2_tbm_annotated.conllu   |                    2 |                 3 |                   60    |
| en_wr_17_21_0_5_jlj_annotated.conllu   |                    8 |                 1 |                   11.11 |
| en_wr_15_17_2_1_ifo_annotated.conllu   |                    8 |                 2 |                   20    |
| en_wr_19_19_3_5_jw_annotated.conllu    |                    8 |                17 |                   68    |
| en_wr_14_23_1_1_rfk_annotated.conllu   |                    5 |                 3 |                   37.5  |
| en_wr_17_21_4_1_rce_annotated.conllu   |                    4 |                 7 |                   63.64 |
| en_wr_20_20_6_1_cas_annotated.conllu   |                    9 |                 2 |                   18.18 |
| en_wr_16_21_4_2_bb_annotated.conllu    |                    1 |                 5 |                   83.33 |
| en_wr_19_24_4_5_cml_annotated.conllu   |                    5 |                 3 |                   37.5  |
| en_wr_17_21_0_2_ter_annotated.conllu   |                    5 |                 2 |                   28.57 |
| en_wr_12_27_2_1_jj_annotated.conllu    |                    1 |                 0 |                    0    |
| en_wr_19_20_3_1_ajd_annotated.conllu   |                   18 |                 4 |                   18.18 |
| en_wr_15_15_2_1_rn_annotated.conllu    |                    7 |                10 |                   58.82 |
| en_wr_19_20_4_4_bm_annotated.conllu    |                   16 |                10 |                   38.46 |
| en_wr_20_15_1_4_kr_annotated.conllu    |                   10 |                 0 |                    0    |
| en_wr_13_15_2_1_mdl_annotated.conllu   |                    5 |                 2 |                   28.57 |
| en_wr_19_39_1_1_pnm_annotated.conllu   |                   16 |                10 |                   38.46 |
| en_wr_17_20_1_1_lp_annotated.conllu    |                    2 |                 3 |                   60    |
| en_wr_15_18_3_1_pe_annotated.conllu    |                   16 |                 2 |                   11.11 |
| en_wr_15_14_3_1_twl_annotated.conllu   |                    4 |                 7 |                   63.64 |
| en_wr_20_20_4_1_mk_annotated.conllu    |                    3 |                 1 |                   25    |
| en_wr_21_43_1_1_kbs_annotated.conllu   |                   10 |                 3 |                   23.08 |
| en_wr_21_15_4_1_eb_annotated.conllu    |                   12 |                 9 |                   42.86 |
| en_wr_20_15_2_1_sj_annotated.conllu    |                    9 |                 0 |                    0    |
| en_wr_15_17_3_1_gb_annotated.conllu    |                   10 |                21 |                   67.74 |
| en_wr_15_18_2_1_hpf_annotated.conllu   |                    1 |                 3 |                   75    |
| en_wr_21_27_9_1_tmr_annotated.conllu   |                   17 |                 8 |                   32    |
| en_wr_18_22_3_5_kmp_annotated.conllu   |                    6 |                 1 |                   14.29 |
| en_wr_19_-_2_4_clm_annotated.conllu    |                   12 |                 9 |                   42.86 |
| en_wr_15_23_3_5_jah_annotated.conllu   |                    8 |                 2 |                   20    |
| en_wr_13_24_2_1_cf_annotated.conllu    |                    7 |                 4 |                   36.36 |
| en_wr_12_21_1_1_rn_annotated.conllu    |                    8 |                 8 |                   50    |
| en_wr_14_15_3_2_jlb_annotated.conllu   |                   10 |                28 |                   73.68 |
| en_wr_20_21_7_1_amw_annotated.conllu   |                    8 |                 8 |                   50    |
| en_wr_18_20_2_1_mk_annotated.conllu    |                    8 |                 2 |                   20    |
| en_wr_12_18_2_2_mls_annotated.conllu   |                    8 |                 4 |                   33.33 |
| en_wr_12_18_5_2_lac_annotated.conllu   |                   12 |                16 |                   57.14 |
| en_wr_21_20_3_2_clh_annotated.conllu   |                    3 |                 0 |                    0    |
| en_wr_21_26_6_4_aeb_annotated.conllu   |                   14 |                 3 |                   17.65 |
| en_wr_17_28_2_1_spj_annotated.conllu   |                   18 |                 1 |                    5.26 |
| en_wr_16_16_7_1_oaw_annotated.conllu   |                   24 |                23 |                   48.94 |
| en_wr_20_17_3_1_jlh_annotated.conllu   |                    5 |                 7 |                   58.33 |
| en_wr_12_21_2_5_eye_annotated.conllu   |                    4 |                 1 |                   20    |
| en_wr_16_19_3_2_cdj_annotated.conllu   |                    2 |                 3 |                   60    |
| en_wr_16_19_3_1_mla_annotated.conllu   |                    2 |                 2 |                   50    |
| en_wr_21_17_7_4_lmg_annotated.conllu   |                   18 |                 8 |                   30.77 |
| en_wr_19_16_5_1_cjl_annotated.conllu   |                   15 |                21 |                   58.33 |
| en_wr_21_15_2_1_mp_annotated.conllu    |                   21 |                 3 |                   12.5  |
| en_wr_21_58_0_1_pjl_annotated.conllu   |                   11 |                 6 |                   35.29 |
| en_wr_21_22_1_1_gl_annotated.conllu    |                    0 |                 5 |                  100    |
| en_wr_12_16_2_4_ac_annotated.conllu    |                    2 |                 1 |                   33.33 |
| en_wr_18_21_1_5_kjv_annotated.conllu   |                   11 |                 3 |                   21.43 |
| en_wr_21_21_2_1_kw_annotated.conllu    |                    3 |                 1 |                   25    |
| en_wr_12_43_1_2_rem_annotated.conllu   |                    0 |                 2 |                  100    |
| en_wr_12_21_3_2_mjo_annotated.conllu   |                    0 |                 5 |                  100    |
| en_wr_16_17_3_2_ajs_annotated.conllu   |                    3 |                16 |                   84.21 |
| en_wr_14_14_1_1_cjb_annotated.conllu   |                    5 |                12 |                   70.59 |
| en_wr_14_19_2_9_lea_annotated.conllu   |                    1 |                 2 |                   66.67 |
| en_wr_11_19_2_2_add_annotated.conllu   |                    6 |                 7 |                   53.85 |
| en_wr_18_28_1_5_noh_annotated.conllu   |                    5 |                 5 |                   50    |
| en_wr_16_23_1_6_am_annotated.conllu    |                   22 |                 3 |                   12    |
| en_wr_18_20_6_1_sp_annotated.conllu    |                   11 |                 7 |                   38.89 |
| en_wr_18_23_3_2_mjr_annotated.conllu   |                    8 |                 4 |                   33.33 |
| en_wr_19_39_1_2_ah_annotated.conllu    |                   26 |                 7 |                   21.21 |
| en_wr_13_21_0_2_keh_annotated.conllu   |                    4 |                 9 |                   69.23 |
| en_wr_21_20_3_5_egw_annotated.conllu   |                    2 |                 2 |                   50    |
| en_wr_18_21_5_3_dw_annotated.conllu    |                   11 |                23 |                   67.65 |
| en_wr_21_17_3_2_cjh_annotated.conllu   |                    6 |                10 |                   62.5  |
| en_wr_16_24_1_2_tdlw_annotated.conllu  |                   10 |                 1 |                    9.09 |
| en_wr_14_18_4_2_dsb_annotated.conllu   |                    2 |                 4 |                   66.67 |
| en_wr_17_20_1_1_kt_annotated.conllu    |                   10 |                 9 |                   47.37 |
| en_wr_16_14_2_6_mt_annotated.conllu    |                   12 |                 2 |                   14.29 |
| en_wr_17_33_3_1_lmsh_annotated.conllu  |                    5 |                 7 |                   58.33 |
| en_wr_16_15_2_1_drl_annotated.conllu   |                   11 |                 2 |                   15.38 |
| en_wr_16_16_3_4_bla_annotated.conllu   |                    5 |                 2 |                   28.57 |
| en_wr_17_23_-_1_mjc_annotated.conllu   |                    9 |                 2 |                   18.18 |
| en_wr_20_20_4_7_bes_annotated.conllu   |                    3 |                 5 |                   62.5  |
| en_wr_19_-_2_1_to_annotated.conllu     |                    8 |                 2 |                   20    |
| en_wr_20_18_4_2_tw_annotated.conllu    |                   38 |                 7 |                   15.56 |
| en_wr_20_19_2_1_jt_annotated.conllu    |                    3 |                 6 |                   66.67 |
| en_wr_21_21_1_6_tt_annotated.conllu    |                   10 |                 3 |                   23.08 |
| en_wr_16_19_3_2_nk_annotated.conllu    |                    1 |                 2 |                   66.67 |
| en_wr_16_15_4_2_knl_annotated.conllu   |                   18 |                 1 |                    5.26 |
| en_wr_16_15_2_1_az_annotated.conllu    |                   12 |                 4 |                   25    |
| en_wr_15_19_4_2_smr_annotated.conllu   |                    1 |                 2 |                   66.67 |
| en_wr_18_19_3_6_amp_annotated.conllu   |                   15 |                 8 |                   34.78 |
| en_wr_17_18_1_4_sm_annotated.conllu    |                    3 |                11 |                   78.57 |
| en_wr_12_20_3_5_bjj_annotated.conllu   |                    2 |                 7 |                   77.78 |
| en_wr_21_20_6_5_ljl_annotated.conllu   |                   17 |                 2 |                   10.53 |
| en_wr_13_19_5_4_sc_annotated.conllu    |                    8 |                 5 |                   38.46 |
| en_wr_18_19_1_5_mlj_annotated.conllu   |                   12 |                 1 |                    7.69 |
| en_wr_20_19_-_6_bbb_annotated.conllu   |                   29 |                 9 |                   23.68 |
| en_wr_16_20_0_2_bpm_annotated.conllu   |                    5 |                 0 |                    0    |
| en_wr_18_15_1_1_ofj_annotated.conllu   |                   22 |                15 |                   40.54 |
| en_wr_17_26_2_1_cb_annotated.conllu    |                   14 |                 4 |                   22.22 |
| en_wr_14_54_2_2_rw_annotated.conllu    |                    2 |                 1 |                   33.33 |
| en_wr_12_17_3_4_er_annotated.conllu    |                   24 |                10 |                   29.41 |
| en_wr_21_59_2_1_pa_annotated.conllu    |                    5 |                 1 |                   16.67 |
| en_wr_21_22_7_2_em_annotated.conllu    |                    8 |                 1 |                   11.11 |
| en_wr_18_31_2_1_dat_annotated.conllu   |                    3 |                 3 |                   50    |
| en_wr_16_24_2_1_jh_annotated.conllu    |                    2 |                 4 |                   66.67 |
| en_wr_16_30_1_5_gw_annotated.conllu    |                    5 |                 1 |                   16.67 |
| en_wr_12_22_2_1_ss_annotated.conllu    |                    7 |                 7 |                   50    |
| en_wr_20_29_2_1_dnc_annotated.conllu   |                   30 |                31 |                   50.82 |
| en_wr_14_22_3_1_dw_annotated.conllu    |                   21 |                19 |                   47.5  |
| en_wr_18_18_3_1_mjj_annotated.conllu   |                    5 |                 1 |                   16.67 |
| en_wr_16_20_3_2_cas_annotated.conllu   |                   10 |                14 |                   58.33 |
| en_wr_12_19_3_2_dt_annotated.conllu    |                    1 |                 9 |                   90    |
| en_wr_19_16_3_1_jew_annotated.conllu   |                   29 |                38 |                   56.72 |
| en_wr_18_-_0_1_wsg_annotated.conllu    |                    3 |                 1 |                   25    |
| en_wr_18_16_-_2_crb_annotated.conllu   |                   14 |                 1 |                    6.67 |
| en_wr_20_16_2_1_eb_annotated.conllu    |                   12 |                 3 |                   20    |
| en_wr_18_18_4_1_wsk_annotated.conllu   |                    4 |                 2 |                   33.33 |
| en_wr_18_43_1_2_ab_annotated.conllu    |                    3 |                 2 |                   40    |
| en_wr_17_22_1_2_js_annotated.conllu    |                    3 |                 6 |                   66.67 |
| en_wr_12_13_4_2_ajc_annotated.conllu   |                   25 |                 5 |                   16.67 |
| en_wr_19_59_2_1_rj_annotated.conllu    |                   44 |                 9 |                   16.98 |
| en_wr_21_18_2_1_jrk_annotated.conllu   |                    2 |                 5 |                   71.43 |
| en_wr_18_20_0_2_alb_annotated.conllu   |                    4 |                 3 |                   42.86 |
| en_wr_19_19_3_9_ttw_annotated.conllu   |                   27 |                17 |                   38.64 |
| en_wr_15_20_3_3_tdz_annotated.conllu   |                   14 |                17 |                   54.84 |
| en_wr_18_17_3_6_meg_annotated.conllu   |                   13 |                 5 |                   27.78 |
| en_wr_13_34_1_1_jw_annotated.conllu    |                   18 |                12 |                   40    |
| en_wr_18_13_5_1_emm_annotated.conllu   |                   38 |                19 |                   33.33 |
| en_wr_15_18_3_2_elp_annotated.conllu   |                    4 |                 8 |                   66.67 |
| en_wr_19_19_4_1_cf_annotated.conllu    |                    4 |                 2 |                   33.33 |
| en_wr_18_20_3_5_ml_annotated.conllu    |                    8 |                 0 |                    0    |
| en_wr_20_16_2_1_msd_annotated.conllu   |                   10 |                 4 |                   28.57 |
| en_wr_13_20_2_1_ab_annotated.conllu    |                    9 |                 1 |                   10    |
| en_wr_20_22_4_5_js_annotated.conllu    |                    2 |                 4 |                   66.67 |
| en_wr_21_39_4_1_lb_annotated.conllu    |                   26 |                25 |                   49.02 |
| en_wr_20_22_3_2_aca_annotated.conllu   |                    2 |                 2 |                   50    |
| en_wr_18_-_2_1_krh_annotated.conllu    |                    8 |                 4 |                   33.33 |
| en_wr_18_18_6_2_jfm_annotated.conllu   |                    5 |                 4 |                   44.44 |
| en_wr_14_20_1_2_ep_annotated.conllu    |                    8 |                 1 |                   11.11 |
| en_wr_16_21_-_2_cms_annotated.conllu   |                    2 |                 3 |                   60    |
| en_wr_13_20_8_8_ktdc_annotated.conllu  |                    1 |                 0 |                    0    |
| en_wr_19_47_3_6_llc_annotated.conllu   |                   29 |                 5 |                   14.71 |
| en_wr_20_15_2_4_ajp_annotated.conllu   |                    6 |                 6 |                   50    |
| en_wr_18_22_1_2_meo_annotated.conllu   |                    4 |                24 |                   85.71 |
| en_wr_15_19_5_5_ts_annotated.conllu    |                   20 |                16 |                   44.44 |
| en_wr_19_15_2_4_el_annotated.conllu    |                   16 |                 4 |                   20    |
| en_wr_18_16_6_2_am_annotated.conllu    |                    8 |                 2 |                   20    |
| en_wr_15_20_2_5_bb_annotated.conllu    |                    1 |                 1 |                   50    |
| en_wr_20_20_5_2_tb_annotated.conllu    |                   14 |                 3 |                   17.65 |
| en_wr_12_24_0_2_jml_annotated.conllu   |                    2 |                 3 |                   60    |
| en_wr_15_26_3_1_dm_annotated.conllu    |                    3 |                 3 |                   50    |
| en_wr_15_16_-_4_msh_annotated.conllu   |                    5 |                 5 |                   50    |
| en_wr_19_15_2_1_mflk_annotated.conllu  |                   14 |                 5 |                   26.32 |
| en_wr_17_19_3_1_rmd_annotated.conllu   |                    3 |                 2 |                   40    |
| en_wr_19_41_4_4_jlc_annotated.conllu   |                   12 |                 4 |                   25    |
| en_wr_19_20_-_2_eb_annotated.conllu    |                    4 |                 9 |                   69.23 |
| en_wr_17_24_2_1_mc_annotated.conllu    |                    2 |                 7 |                   77.78 |
| en_wr_15_15_2_2_jws_annotated.conllu   |                    8 |                 1 |                   11.11 |
| en_wr_17_19_2_4_mas_annotated.conllu   |                   10 |                 6 |                   37.5  |
| en_wr_18_16_4_1_jra_annotated.conllu   |                   11 |                 5 |                   31.25 |
| en_wr_21_16_3_1_jea_annotated.conllu   |                   13 |                10 |                   43.48 |
| en_wr_12_21_4_1_cep_annotated.conllu   |                    8 |                12 |                   60    |
| en_wr_17_19_3_1_jor_annotated.conllu   |                    4 |                 4 |                   50    |
| en_wr_13_18_3_2_dl_annotated.conllu    |                    3 |                 3 |                   50    |
| en_wr_19_16_4_1_sag_annotated.conllu   |                   16 |                13 |                   44.83 |
| en_wr_17_19_10_8_adr_annotated.conllu  |                    1 |                 6 |                   85.71 |
| en_wr_14_16_3_1_rla_annotated.conllu   |                   13 |                32 |                   71.11 |
| en_wr_15_20_4_5_alb_annotated.conllu   |                    7 |                 2 |                   22.22 |
| en_wr_11_19_3_2_wem_annotated.conllu   |                    0 |                 3 |                  100    |
| en_wr_18_16_1_5_ks_annotated.conllu    |                    3 |                 0 |                    0    |
| en_wr_18_20_1_2_eab_annotated.conllu   |                    9 |                 6 |                   40    |
| en_wr_21_22_1_5_jmd_annotated.conllu   |                    8 |                 8 |                   50    |
| en_wr_21_30_3_5_rr_annotated.conllu    |                   26 |                13 |                   33.33 |
| en_wr_21_18_5_5_cls_annotated.conllu   |                    2 |                15 |                   88.24 |
| en_wr_14_16_2_1_as_annotated.conllu    |                    6 |                 1 |                   14.29 |
| en_wr_17_23_1_1_mar_annotated.conllu   |                    6 |                 0 |                    0    |
| en_wr_20_17_3_1_afn_annotated.conllu   |                   13 |                 5 |                   27.78 |
| en_wr_15_16_2_2_kl_annotated.conllu    |                    3 |                 5 |                   62.5  |
| en_wr_17_18_3_2_jrr_annotated.conllu   |                    2 |                 6 |                   75    |
| en_wr_18_45_1_2_svw_annotated.conllu   |                    2 |                 2 |                   50    |
| en_wr_12_26_3_2_mab_annotated.conllu   |                    3 |                 3 |                   50    |
| en_wr_14_17_3_5_emr_annotated.conllu   |                   13 |                 4 |                   23.53 |
| en_wr_14_21_0_2_zc_annotated.conllu    |                    1 |                 3 |                   75    |
| en_wr_20_17_2_4_lmj_annotated.conllu   |                   40 |                11 |                   21.57 |
| en_wr_16_18_5_2_ars_annotated.conllu   |                   25 |                12 |                   32.43 |
| en_wr_20_20_3_2_nec_annotated.conllu   |                   13 |                 2 |                   13.33 |
| en_wr_12_21_3_11_dk_annotated.conllu   |                    0 |                 1 |                  100    |
| en_wr_15_20_4_5_nlm_annotated.conllu   |                    6 |                 3 |                   33.33 |
| en_wr_17_21_0_1_tbf_annotated.conllu   |                    4 |                 2 |                   33.33 |
| en_wr_21_20_5_8_ja_annotated.conllu    |                    6 |                 6 |                   50    |
| en_wr_18_22_1_1_jcc_annotated.conllu   |                    3 |                 3 |                   50    |
| en_wr_13_19_1_1_abs_annotated.conllu   |                    0 |                 1 |                  100    |
| en_wr_14_25_2_1_zh_annotated.conllu    |                   19 |                 8 |                   29.63 |
| en_wr_21_20_5_2_wgb_annotated.conllu   |                   10 |                 5 |                   33.33 |
| en_wr_13_18_2_5_tjg_annotated.conllu   |                    8 |                10 |                   55.56 |
| en_wr_19_20_5_6_eh_annotated.conllu    |                    5 |                 3 |                   37.5  |
| en_wr_20_19_5_1_jcj_annotated.conllu   |                    1 |                 5 |                   83.33 |
| en_wr_18_19_1_4_cls_annotated.conllu   |                    7 |                 4 |                   36.36 |
| en_wr_16_22_2_2_aiv_annotated.conllu   |                   19 |                 2 |                    9.52 |
| en_wr_12_17_3_2_rms_annotated.conllu   |                   21 |                14 |                   40    |
| en_wr_18_18_4_1_kpc_annotated.conllu   |                   40 |                37 |                   48.05 |
| en_wr_15_16_3_2_zab_annotated.conllu   |                    3 |                 2 |                   40    |
| en_wr_14_15_2_4_jl_annotated.conllu    |                   14 |                 0 |                    0    |
| en_wr_21_15_2_4_blh_annotated.conllu   |                   12 |                 2 |                   14.29 |
| en_wr_19_15_3_4_wn_annotated.conllu    |                   15 |                 0 |                    0    |
| en_wr_15_19_6_1_ath_annotated.conllu   |                    4 |                 7 |                   63.64 |
| en_wr_14_21_0_1_md_annotated.conllu    |                   15 |                 0 |                    0    |
| en_wr_21_33_5_6_jd_annotated.conllu    |                   42 |                 4 |                    8.7  |
| en_wr_17_15_2_2_cb_annotated.conllu    |                    8 |                 3 |                   27.27 |
| en_wr_17_16_4_4_jj_annotated.conllu    |                   11 |                 6 |                   35.29 |
| en_wr_19_40_1_1_wb_annotated.conllu    |                    9 |                 4 |                   30.77 |
| en_wr_17_21_4_2_jiz_annotated.conllu   |                    8 |                 3 |                   27.27 |
| en_wr_19_17_7_5_nash_annotated.conllu  |                    4 |                 4 |                   50    |
| en_wr_15_15_2_1_kb_annotated.conllu    |                    4 |                 0 |                    0    |
| en_wr_20_17_2_4_hni_annotated.conllu   |                    4 |                 0 |                    0    |
| en_wr_17_25_3_1_pvm_annotated.conllu   |                    2 |                 3 |                   60    |
| en_wr_18_19_4_4_krs_annotated.conllu   |                    4 |                 5 |                   55.56 |
| en_wr_18_19_2_2_jf_annotated.conllu    |                    4 |                 7 |                   63.64 |
| en_wr_16_21_2_2_jrj_annotated.conllu   |                    4 |                 6 |                   60    |
| en_wr_16_47_0_1_ad_annotated.conllu    |                    4 |                 0 |                    0    |
| en_wr_19_17_5_2_dd_annotated.conllu    |                   32 |                 6 |                   15.79 |
| en_wr_17_22_2_1_dpp_annotated.conllu   |                    2 |                 1 |                   33.33 |
| en_wr_20_15_2_2_kb_annotated.conllu    |                    5 |                 4 |                   44.44 |
| en_wr_20_21_2_1_brd_annotated.conllu   |                   20 |                11 |                   35.48 |
| en_wr_16_25_3_1_krd_annotated.conllu   |                   18 |                10 |                   35.71 |
| en_wr_15_18_3_1_dj_annotated.conllu    |                    5 |                 5 |                   50    |
| en_wr_18_22_1_1_klr_annotated.conllu   |                    6 |                 9 |                   60    |
| en_wr_17_16_4_1_mbr_annotated.conllu   |                    2 |                 1 |                   33.33 |
| en_wr_18_23_9_1_ch_annotated.conllu    |                   10 |                 5 |                   33.33 |
| en_wr_18_18_10_1_ama_annotated.conllu  |                    3 |                 0 |                    0    |
| en_wr_20_19_6_2_jb_annotated.conllu    |                   12 |                 9 |                   42.86 |
| en_wr_20_17_6_4_ar_annotated.conllu    |                   16 |                 3 |                   15.79 |
| en_wr_17_17_3_5_af_annotated.conllu    |                   14 |                 1 |                    6.67 |
| en_wr_20_20_4_2_mlk_annotated.conllu   |                    9 |                 9 |                   50    |
| en_wr_17_66_3_1_jd_annotated.conllu    |                   23 |                15 |                   39.47 |
| en_wr_18_19_4_2_jc_annotated.conllu    |                   13 |                 1 |                    7.14 |
| en_wr_18_18_3_5_llj_annotated.conllu   |                   16 |                 1 |                    5.88 |
| en_wr_13_19_4_1_ejc_annotated.conllu   |                    2 |                 1 |                   33.33 |
| en_wr_16_20_0_2_ttr_annotated.conllu   |                    3 |                 1 |                   25    |
| en_wr_15_45_1_1_drb_annotated.conllu   |                    5 |                13 |                   72.22 |
| en_wr_17_20_2_1_rbc_annotated.conllu   |                    0 |                 1 |                  100    |
| en_wr_16_18_4_1_cnc_annotated.conllu   |                    6 |                13 |                   68.42 |
