Número de oraciones principales con sujeto antepuesto: 8748
Número de oraciones principales sin sujeto antepuesto: 8616

Porcentaje de oraciones con sujeto antepuesto: 50.38 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
| 36_19990901_ssd_annotated.conllu      |                    7 |                10 |                   58.82 |
| 23144_20001129_ssd_annotated.conllu   |                    3 |                 6 |                   66.67 |
| 14710_20000218_ssd_annotated.conllu   |                    8 |                 9 |                   52.94 |
| 4496_20000109_ssd_annotated.conllu    |                    8 |                 6 |                   42.86 |
| d2-12_ssd_annotated.conllu            |                    9 |                 2 |                   18.18 |
| 6697_20000910_ssd_annotated.conllu    |                    7 |                11 |                   61.11 |
| 111_19981201_ssd_annotated.conllu     |                    1 |                 2 |                   66.67 |
| 4239_20000706_ssd_annotated.conllu    |                    3 |                 4 |                   57.14 |
| 115_20011001_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| a15-8_ssd_annotated.conllu            |                    8 |                 2 |                   20    |
| e1-1_ssd_annotated.conllu             |                    9 |                 4 |                   30.77 |
| 5003_20000206_ssd_annotated.conllu    |                   19 |                19 |                   50    |
| 3836_20000204_ssd_annotated.conllu    |                    2 |                18 |                   90    |
| 15839_20000123_ssd_annotated.conllu   |                    4 |                 4 |                   50    |
| t6-1_ssd_annotated.conllu             |                    9 |                 1 |                   10    |
| 140_20011201_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 66_20011202_ssd_annotated.conllu      |                    4 |                13 |                   76.47 |
| 20_19991202_ssd_annotated.conllu      |                   12 |                16 |                   57.14 |
| 41_20011001_ssd_annotated.conllu      |                    9 |                 4 |                   30.77 |
| 7642_20000309_ssd_annotated.conllu    |                    7 |                 5 |                   41.67 |
| 20_20010702_ssd_annotated.conllu      |                    3 |                10 |                   76.92 |
| 34_20020103_ssd_annotated.conllu      |                   33 |                13 |                   28.26 |
| 10938_20000214_ssd_annotated.conllu   |                    3 |                 2 |                   40    |
| 15362_20001120_ssd_annotated.conllu   |                    2 |                 5 |                   71.43 |
| 14713_20001219_ssd_annotated.conllu   |                    1 |                 6 |                   85.71 |
| 10168_20000212_ssd_annotated.conllu   |                    4 |                 3 |                   42.86 |
| 136_20010302_ssd_annotated.conllu     |                    2 |                 6 |                   75    |
| 10_20010301_ssd_annotated.conllu      |                    2 |                 4 |                   66.67 |
| 101_19990103_ssd_annotated.conllu     |                    4 |                 6 |                   60    |
| 10_20020102_ssd_annotated.conllu      |                    0 |                 3 |                  100    |
| 47_19990401_ssd_annotated.conllu      |                    9 |                 8 |                   47.06 |
| 11_20020402_ssd_annotated.conllu      |                    3 |                 5 |                   62.5  |
| r2-11_ssd_annotated.conllu            |                    5 |                 7 |                   58.33 |
| 6582_20001209_ssd_annotated.conllu    |                    5 |                21 |                   80.77 |
| 17482_20000621_ssd_annotated.conllu   |                    0 |                 2 |                  100    |
| 70_20011102_ssd_annotated.conllu      |                    5 |                 6 |                   54.55 |
| d2-17_ssd_annotated.conllu            |                    6 |                 4 |                   40    |
| 14_20000903_ssd_annotated.conllu      |                    5 |                 4 |                   44.44 |
| 7_20000201_ssd_annotated.conllu       |                    1 |                 4 |                   80    |
| 16223_20001020_ssd_annotated.conllu   |                    5 |                 2 |                   28.57 |
| 82_19981101_ssd_annotated.conllu      |                    2 |                 9 |                   81.82 |
| 107_20010201_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| t3-5_ssd_annotated.conllu             |                    8 |                 3 |                   27.27 |
| 30_20020801_b_ssd_annotated.conllu    |                    3 |                 1 |                   25    |
| dc3-5_ssd_annotated.conllu            |                    3 |                 9 |                   75    |
| 98_19990601_ssd_annotated.conllu      |                    1 |                11 |                   91.67 |
| 4216_20001107_ssd_annotated.conllu    |                    7 |                11 |                   61.11 |
| d1-9_ssd_annotated.conllu             |                    8 |                 2 |                   20    |
| 38_19990902_a_ssd_annotated.conllu    |                    2 |                 4 |                   66.67 |
| dc2-11_ssd_annotated.conllu           |                    7 |                 4 |                   36.36 |
| 5315_20000207_ssd_annotated.conllu    |                   11 |                 2 |                   15.38 |
| a12-2_ssd_annotated.conllu            |                   11 |                 1 |                    8.33 |
| 11084_20001014_ssd_annotated.conllu   |                   11 |                 8 |                   42.11 |
| 111_C-3_ssd_annotated.conllu          |                    7 |                14 |                   66.67 |
| d2-18_ssd_annotated.conllu            |                    0 |                 1 |                  100    |
| 14966_20000318_ssd_annotated.conllu   |                    6 |                 2 |                   25    |
| 35_19991101_ssd_annotated.conllu      |                    5 |                 5 |                   50    |
| 101_19990902_ssd_annotated.conllu     |                    1 |                 3 |                   75    |
| 96_20010402_ssd_annotated.conllu      |                    2 |                 1 |                   33.33 |
| 84_19990902_ssd_annotated.conllu      |                   11 |                 9 |                   45    |
| 9_19990602_ssd_annotated.conllu       |                    2 |                 2 |                   50    |
| 79_19981101_ssd_annotated.conllu      |                    6 |                 6 |                   50    |
| 176_20010201_ssd_annotated.conllu     |                    0 |                 3 |                  100    |
| dc1-4_ssd_annotated.conllu            |                    3 |                 8 |                   72.73 |
| 211_C-1_ssd_annotated.conllu          |                    7 |                12 |                   63.16 |
| 16_19990202_ssd_annotated.conllu      |                    7 |                 4 |                   36.36 |
| 3_20000602_ssd_annotated.conllu       |                    2 |                 9 |                   81.82 |
| t1-4_ssd_annotated.conllu             |                    5 |                 5 |                   50    |
| 158_20010602_ssd_annotated.conllu     |                    3 |                 0 |                    0    |
| d1-6_ssd_annotated.conllu             |                    8 |                 2 |                   20    |
| 59_20010402_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 21391_20000129_ssd_annotated.conllu   |                    2 |                 9 |                   81.82 |
| 64_19990201_ssd_annotated.conllu      |                    7 |                11 |                   61.11 |
| a15-7_ssd_annotated.conllu            |                   10 |                 5 |                   33.33 |
| e3-0_ssd_annotated.conllu             |                   10 |                 4 |                   28.57 |
| 26_19990701_d_ssd_annotated.conllu    |                    4 |                 0 |                    0    |
| 16730_20000221_ssd_annotated.conllu   |                   10 |                 8 |                   44.44 |
| 27_20020801_b_ssd_annotated.conllu    |                    1 |                 8 |                   88.89 |
| 108_20000301_c_ssd_annotated.conllu   |                    0 |                 4 |                  100    |
| 136_20001001_ssd_annotated.conllu     |                   45 |                11 |                   19.64 |
| 104_20010802_ssd_annotated.conllu     |                    2 |                 4 |                   66.67 |
| 41_20010502_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 10226_20000714_ssd_annotated.conllu   |                    3 |                 6 |                   66.67 |
| 112_19981202_ssd_annotated.conllu     |                   13 |                 6 |                   31.58 |
| t4-0_ssd_annotated.conllu             |                    6 |                 4 |                   40    |
| n1-10_ssd_annotated.conllu            |                    8 |                 6 |                   42.86 |
| 41_19991002_ssd_annotated.conllu      |                    5 |                 5 |                   50    |
| 24537_20001030_ssd_annotated.conllu   |                    7 |                 5 |                   41.67 |
| 45_20020103_ssd_annotated.conllu      |                    4 |                10 |                   71.43 |
| 118_20011202_ssd_annotated.conllu     |                   17 |                 6 |                   26.09 |
| 4800_20000406_ssd_annotated.conllu    |                    5 |                 6 |                   54.55 |
| 30_20000103_ssd_annotated.conllu      |                    1 |                 4 |                   80    |
| c1-2_ssd_annotated.conllu             |                    4 |                 7 |                   63.64 |
| 128_20001001_ssd_annotated.conllu     |                    0 |                 3 |                  100    |
| 21460_20000526_ssd_annotated.conllu   |                    4 |                 4 |                   50    |
| 6296_20001109_ssd_annotated.conllu    |                    4 |                 9 |                   69.23 |
| 8552_20000310_ssd_annotated.conllu    |                    0 |                 5 |                  100    |
| d1-3_ssd_annotated.conllu             |                    9 |                 2 |                   18.18 |
| 122_19990202_ssd_annotated.conllu     |                    9 |                 9 |                   50    |
| 2698_20000203_ssd_annotated.conllu    |                    1 |                12 |                   92.31 |
| 3_20000903_ssd_annotated.conllu       |                    2 |                 4 |                   66.67 |
| t1-1_ssd_annotated.conllu             |                    9 |                 1 |                   10    |
| 30_20020801_h_ssd_annotated.conllu    |                    3 |                 1 |                   25    |
| 17_20020202_ssd_annotated.conllu      |                    6 |                13 |                   68.42 |
| 22739_20001027_ssd_annotated.conllu   |                    2 |                 1 |                   33.33 |
| dc1-1_ssd_annotated.conllu            |                   10 |                 3 |                   23.08 |
| 211_C-4_ssd_annotated.conllu          |                    8 |                 7 |                   46.67 |
| 8_20010401_ssd_annotated.conllu       |                    3 |                 7 |                   70    |
| 24052_20000229_ssd_annotated.conllu   |                    8 |                 3 |                   27.27 |
| 1587_20000703_ssd_annotated.conllu    |                    2 |                 6 |                   75    |
| 131_20000602_ssd_annotated.conllu     |                    7 |                 4 |                   36.36 |
| 14709_20000419_ssd_annotated.conllu   |                    5 |                 2 |                   28.57 |
| 4_20020601_b_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| 15026_20001019_ssd_annotated.conllu   |                    6 |                 5 |                   45.45 |
| 11_20020902_ssd_annotated.conllu      |                   21 |                 3 |                   12.5  |
| 73_20010902_ssd_annotated.conllu      |                   14 |                11 |                   44    |
| 111_C-6_ssd_annotated.conllu          |                    1 |                11 |                   91.67 |
| 65_20000602_ssd_annotated.conllu      |                    8 |                16 |                   66.67 |
| 101_20010401_ssd_annotated.conllu     |                    5 |                 4 |                   44.44 |
| 37_20010602_ssd_annotated.conllu      |                    0 |                 1 |                  100    |
| 57_20000401_e_ssd_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 20809_20000428_ssd_annotated.conllu   |                    9 |                 1 |                   10    |
| 129_20000702_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 44_20020102_ssd_annotated.conllu      |                    2 |                 2 |                   50    |
| 18485_20000724_ssd_annotated.conllu   |                    2 |                 5 |                   71.43 |
| 168_20011002_ssd_annotated.conllu     |                    4 |                 5 |                   55.56 |
| 178_20010401_a_ssd_annotated.conllu   |                    0 |                 5 |                  100    |
| 5192_20000207_ssd_annotated.conllu    |                    2 |                 8 |                   80    |
| 120_20000102_ssd_annotated.conllu     |                    5 |                 7 |                   58.33 |
| 120_20020501_ssd_annotated.conllu     |                    1 |                 5 |                   83.33 |
| t4-5_ssd_annotated.conllu             |                    8 |                 3 |                   27.27 |
| 17_20000602_c_ssd_annotated.conllu    |                    6 |                 3 |                   33.33 |
| n1-15_ssd_annotated.conllu            |                   13 |                 6 |                   31.58 |
| 33_19990802_ssd_annotated.conllu      |                    3 |                 7 |                   70    |
| dc10-10_ssd_annotated.conllu          |                   10 |                 4 |                   28.57 |
| 107_19991001_ssd_annotated.conllu     |                    2 |                 5 |                   71.43 |
| 8842_20000210_ssd_annotated.conllu    |                    3 |                 1 |                   25    |
| 104_20011001_ssd_annotated.conllu     |                    0 |                 1 |                  100    |
| 26_19990701_a_ssd_annotated.conllu    |                   75 |                21 |                   21.88 |
| 91_19990701_ssd_annotated.conllu      |                    7 |                 7 |                   50    |
| dc3-13_ssd_annotated.conllu           |                    6 |                 4 |                   40    |
| a15-2_ssd_annotated.conllu            |                    9 |                 8 |                   47.06 |
| 3224_20000304_ssd_annotated.conllu    |                    8 |                 9 |                   52.94 |
| 8105_20000310_ssd_annotated.conllu    |                   14 |                17 |                   54.84 |
| 108_19990602_ssd_annotated.conllu     |                    2 |                 3 |                   60    |
| 17012_20000221_ssd_annotated.conllu   |                    4 |                 2 |                   33.33 |
| 24092_20000928_ssd_annotated.conllu   |                    4 |                 1 |                   20    |
| 23_20000201_a_ssd_annotated.conllu    |                    4 |                 0 |                    0    |
| dc10-4_ssd_annotated.conllu           |                    9 |                 6 |                   40    |
| 25091_20000929_ssd_annotated.conllu   |                    5 |                 0 |                    0    |
| 73_20000201_c_ssd_annotated.conllu    |                    2 |                 1 |                   33.33 |
| 71_20001002_a_ssd_annotated.conllu    |                    4 |                 2 |                   33.33 |
| 13809_20001018_ssd_annotated.conllu   |                   12 |                11 |                   47.83 |
| 169_20010401_ssd_annotated.conllu     |                    7 |                 4 |                   36.36 |
| 104_c-1_ssd_annotated.conllu          |                    6 |                 8 |                   57.14 |
| dc1-15_ssd_annotated.conllu           |                    6 |                 4 |                   40    |
| 48_20000602_ssd_annotated.conllu      |                    1 |                 3 |                   75    |
| 58_19981102_ssd_annotated.conllu      |                    2 |                 3 |                   60    |
| c2-2_ssd_annotated.conllu             |                   11 |                 8 |                   42.11 |
| 10127_20001013_ssd_annotated.conllu   |                   10 |                17 |                   62.96 |
| 204_c-3_ssd_annotated.conllu          |                    6 |                11 |                   64.71 |
| 33_20010601_ssd_annotated.conllu      |                    0 |                 1 |                  100    |
| 19343_20000524_ssd_annotated.conllu   |                    3 |                 6 |                   66.67 |
| 65_19990401_ssd_annotated.conllu      |                    1 |                 2 |                   66.67 |
| 46_19981102_ssd_annotated.conllu      |                    3 |                11 |                   78.57 |
| 61_20000601_ssd_annotated.conllu      |                    5 |                11 |                   68.75 |
| d1-13_ssd_annotated.conllu            |                   12 |                 7 |                   36.84 |
| 43_19990902_ssd_annotated.conllu      |                    2 |                 7 |                   77.78 |
| a1-1_ssd_annotated.conllu             |                    7 |                 3 |                   30    |
| 2181_20000504_ssd_annotated.conllu    |                    1 |                 6 |                   85.71 |
| 71_19991201_f_ssd_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 83_20011102_ssd_annotated.conllu      |                   10 |                10 |                   50    |
| 34_20000401_ssd_annotated.conllu      |                    2 |                17 |                   89.47 |
| 51_20020601_ssd_annotated.conllu      |                   26 |                 2 |                    7.14 |
| 11811_20000516_ssd_annotated.conllu   |                    5 |                14 |                   73.68 |
| 36_20000903_ssd_annotated.conllu      |                   31 |                19 |                   38    |
| 108_20000601_b_ssd_annotated.conllu   |                    0 |                 4 |                  100    |
| dc2-4_ssd_annotated.conllu            |                    5 |                 8 |                   61.54 |
| 16_20020103_ssd_annotated.conllu      |                    2 |                 1 |                   33.33 |
| 20778_20001126_ssd_annotated.conllu   |                    6 |                10 |                   62.5  |
| 120_20010103_ssd_annotated.conllu     |                    9 |                 9 |                   50    |
| 25_20000301_ssd_annotated.conllu      |                   12 |                 5 |                   29.41 |
| 69_20010201_m_ssd_annotated.conllu    |                    0 |                 2 |                  100    |
| 158_20010502_ssd_annotated.conllu     |                    3 |                 2 |                   40    |
| 17937_20000723_ssd_annotated.conllu   |                    5 |                 3 |                   37.5  |
| d2-6_ssd_annotated.conllu             |                    8 |                 5 |                   38.46 |
| 47_20000102_ssd_annotated.conllu      |                    4 |                 2 |                   33.33 |
| 146_20010502_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 12863_20001116_ssd_annotated.conllu   |                    5 |                 5 |                   50    |
| .DS_Store                             |                    0 |                 0 |                  nan    |
| 34_20010801_ssd_annotated.conllu      |                    7 |                 8 |                   53.33 |
| 5021_20000206_ssd_annotated.conllu    |                   13 |                 9 |                   40.91 |
| 56_20000801_f_ssd_annotated.conllu    |                    0 |                 4 |                  100    |
| 60_19991001_ssd_annotated.conllu      |                    7 |                 3 |                   30    |
| 4901_20001107_ssd_annotated.conllu    |                    2 |                 7 |                   77.78 |
| 67_19981201_ssd_annotated.conllu      |                    4 |                 5 |                   55.56 |
| 9408_20001113_ssd_annotated.conllu    |                    5 |                 5 |                   50    |
| 121_19991202_e_ssd_annotated.conllu   |                    0 |                 3 |                  100    |
| 141_19981202_ssd_annotated.conllu     |                    9 |                 8 |                   47.06 |
| r2-8_ssd_annotated.conllu             |                    5 |                 6 |                   54.55 |
| 18_19990302_ssd_annotated.conllu      |                    5 |                 3 |                   37.5  |
| 46_20010802_ssd_annotated.conllu      |                   16 |                 5 |                   23.81 |
| n1-4_ssd_annotated.conllu             |                   13 |                 1 |                    7.14 |
| 1592_20001203_ssd_annotated.conllu    |                    6 |                11 |                   64.71 |
| a1-4_ssd_annotated.conllu             |                   13 |                 3 |                   18.75 |
| 19134_20000426_ssd_annotated.conllu   |                    2 |                 3 |                   60    |
| 37_20000902_ssd_annotated.conllu      |                    2 |                 6 |                   75    |
| 71_19991201_c_ssd_annotated.conllu    |                    1 |                 4 |                   80    |
| d1-16_ssd_annotated.conllu            |                    2 |                 0 |                    0    |
| 85_20000401_ssd_annotated.conllu      |                   10 |                 9 |                   47.37 |
| 25330_20000331_ssd_annotated.conllu   |                    7 |                 7 |                   50    |
| 18351_20000724_ssd_annotated.conllu   |                    4 |                 8 |                   66.67 |
| 204_c-6_ssd_annotated.conllu          |                    9 |                11 |                   55    |
| 21717_20000327_ssd_annotated.conllu   |                    4 |                 5 |                   55.56 |
| 17124_20001122_ssd_annotated.conllu   |                    9 |                 5 |                   35.71 |
| 21333_20000326_h_ssd_annotated.conllu |                    1 |                 2 |                   66.67 |
| 21954_20000226_ssd_annotated.conllu   |                    6 |                 5 |                   45.45 |
| 35_20000202_b_ssd_annotated.conllu    |                    0 |                 3 |                  100    |
| 104_C-4_ssd_annotated.conllu          |                    9 |                10 |                   52.63 |
| 20751_20000128_ssd_annotated.conllu   |                    4 |                 5 |                   55.56 |
| dc1-10_ssd_annotated.conllu           |                    4 |                 7 |                   63.64 |
| 71_20001002_d_ssd_annotated.conllu    |                    0 |                 3 |                  100    |
| a22-3_ssd_annotated.conllu            |                   12 |                 0 |                    0    |
| 23_20000201_d_ssd_annotated.conllu    |                    5 |                 0 |                    0    |
| dc10-1_ssd_annotated.conllu           |                    7 |                 3 |                   30    |
| 73_20000201_f_ssd_annotated.conllu    |                    1 |                 2 |                   66.67 |
| n1-1_ssd_annotated.conllu             |                   10 |                10 |                   50    |
| 8058_20000912_ssd_annotated.conllu    |                    2 |                 6 |                   75    |
| 8_20020502_ssd_annotated.conllu       |                    1 |                 2 |                   66.67 |
| 62_20010702_ssd_annotated.conllu      |                    0 |                 3 |                  100    |
| 87_19990701_ssd_annotated.conllu      |                    0 |                 3 |                  100    |
| 144_20020502_ssd_annotated.conllu     |                    0 |                 3 |                  100    |
| 93_20000701_ssd_annotated.conllu      |                    4 |                 2 |                   33.33 |
| 56_20011201_ssd_annotated.conllu      |                    3 |                 1 |                   25    |
| 160_20011002_ssd_annotated.conllu     |                    5 |                 9 |                   64.29 |
| 75_19981202_ssd_annotated.conllu      |                    1 |                 2 |                   66.67 |
| 31_20000802_ssd_annotated.conllu      |                    2 |                 7 |                   77.78 |
| 56_20000801_c_ssd_annotated.conllu    |                    2 |                 2 |                   50    |
| 18_19990602_e_ssd_annotated.conllu    |                    4 |                 2 |                   33.33 |
| 71_20011002_ssd_annotated.conllu      |                    9 |                12 |                   57.14 |
| 17821_20001223_ssd_annotated.conllu   |                    0 |                 4 |                  100    |
| 8934_20000912_ssd_annotated.conllu    |                    3 |                 8 |                   72.73 |
| 10242_20000816_ssd_annotated.conllu   |                    7 |                14 |                   66.67 |
| 3128_20001105_ssd_annotated.conllu    |                    0 |                 2 |                  100    |
| d2-3_ssd_annotated.conllu             |                    4 |                 9 |                   69.23 |
| 8697_20001011_ssd_annotated.conllu    |                    2 |                 6 |                   75    |
| 113_19990501_b_ssd_annotated.conllu   |                    2 |                 2 |                   50    |
| 122_20020103_ssd_annotated.conllu     |                   42 |                13 |                   23.64 |
| 11099_20000915_ssd_annotated.conllu   |                    5 |                 4 |                   44.44 |
| 65_20010302_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 69_20010201_h_ssd_annotated.conllu    |                    0 |                 2 |                  100    |
| 99_20011201_ssd_annotated.conllu      |                    1 |                 1 |                   50    |
| dc2-1_ssd_annotated.conllu            |                    2 |                 9 |                   81.82 |
| 20_20010302_ssd_annotated.conllu      |                    1 |                 3 |                   75    |
| 6_20010501_ssd_annotated.conllu       |                    4 |                 2 |                   33.33 |
| a4-0_ssd_annotated.conllu             |                    4 |                 1 |                   20    |
| 8_20011202_ssd_annotated.conllu       |                    6 |                 7 |                   53.85 |
| 32_20000801_ssd_annotated.conllu      |                    2 |                 8 |                   80    |
| 76_19981201_ssd_annotated.conllu      |                    5 |                 7 |                   58.33 |
| r2-2_ssd_annotated.conllu             |                    7 |                 8 |                   53.33 |
| 144_19990702_ssd_annotated.conllu     |                    1 |                 3 |                   75    |
| 186_20010502_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| 99_20000102_ssd_annotated.conllu      |                    1 |                 1 |                   50    |
| 6874_20000910_ssd_annotated.conllu    |                    9 |                 8 |                   47.06 |
| 87_20020501_ssd_annotated.conllu      |                    1 |                 3 |                   75    |
| 4287_20000306_ssd_annotated.conllu    |                    7 |                 6 |                   46.15 |
| 71_20010501_ssd_annotated.conllu      |                    3 |                 3 |                   50    |
| 94_19990502_ssd_annotated.conllu      |                    0 |                 3 |                  100    |
| 5327_20000707_ssd_annotated.conllu    |                    5 |                 6 |                   54.55 |
| c5-2_ssd_annotated.conllu             |                    9 |                 2 |                   18.18 |
| 56_20000801_l_ssd_annotated.conllu    |                    1 |                 3 |                   75    |
| 23_20000501_ssd_annotated.conllu      |                    3 |                11 |                   78.57 |
| 77_20000801_ssd_annotated.conllu      |                    3 |                 4 |                   57.14 |
| 23_20020102_ssd_annotated.conllu      |                    1 |                 2 |                   66.67 |
| 2000060204_5-2_ssd_annotated.conllu   |                    5 |                 6 |                   54.55 |
| 20351_20000224_ssd_annotated.conllu   |                    7 |                 5 |                   41.67 |
| 1687_20000503_ssd_annotated.conllu    |                    1 |                 5 |                   83.33 |
| 132_20010301_ssd_annotated.conllu     |                   14 |                11 |                   44    |
| 69_20010201_g_ssd_annotated.conllu    |                    2 |                 5 |                   71.43 |
| 149_20010502_ssd_annotated.conllu     |                    8 |                 6 |                   42.86 |
| 80_20010302_ssd_annotated.conllu      |                    1 |                 6 |                   85.71 |
| 65_19990301_ssd_annotated.conllu      |                    0 |                 5 |                  100    |
| 134_19981101_ssd_annotated.conllu     |                   33 |                16 |                   32.65 |
| 135_19991201_a_ssd_annotated.conllu   |                    6 |                 7 |                   53.85 |
| 67_20020402_ssd_annotated.conllu      |                    2 |                 8 |                   80    |
| 31_19990401_ssd_annotated.conllu      |                    5 |                 8 |                   61.54 |
| t5-4_ssd_annotated.conllu             |                    9 |                 3 |                   25    |
| 32_19991101_ssd_annotated.conllu      |                   22 |                27 |                   55.1  |
| 8195_20000812_ssd_annotated.conllu    |                    6 |                 7 |                   53.85 |
| 57_20000601_c_ssd_annotated.conllu    |                    0 |                 3 |                  100    |
| a14-3_ssd_annotated.conllu            |                    8 |                 0 |                    0    |
| 47_20000602_ssd_annotated.conllu      |                    6 |                 6 |                   50    |
| 11_19990202_ssd_annotated.conllu      |                   20 |                 4 |                   16.67 |
| 21333_20000326_g_ssd_annotated.conllu |                    0 |                 5 |                  100    |
| 40_20000202_ssd_annotated.conllu      |                    5 |                 9 |                   64.29 |
| 3876_20001005_ssd_annotated.conllu    |                    6 |                 8 |                   57.14 |
| 49_19990601_a_ssd_annotated.conllu    |                    2 |                 5 |                   71.43 |
| 7726_20000911_ssd_annotated.conllu    |                    4 |                10 |                   71.43 |
| 39_20000903_ssd_annotated.conllu      |                    9 |                12 |                   57.14 |
| 63_19990201_ssd_annotated.conllu      |                    1 |                 2 |                   66.67 |
| 73_20000201_i_ssd_annotated.conllu    |                    0 |                 3 |                  100    |
| 3_19991102_ssd_annotated.conllu       |                    5 |                 5 |                   50    |
| 3682_20000706_ssd_annotated.conllu    |                    4 |                 6 |                   60    |
| 1329_20000703_ssd_annotated.conllu    |                    3 |                 2 |                   40    |
| 21441_20001026_ssd_annotated.conllu   |                   12 |                 8 |                   40    |
| 8253_20000812_ssd_annotated.conllu    |                    7 |                 5 |                   41.67 |
