Número de oraciones principales con sujeto antepuesto: 5574
Número de oraciones principales sin sujeto antepuesto: 13824

Porcentaje de oraciones con sujeto antepuesto: 28.73 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
| en_wr_39_19_4_4_mc_annotated.conllu      |                   17 |                 4 |                   19.05 |
| en_wr_36_55_5_10_mmm_annotated.conllu    |                   14 |                12 |                   46.15 |
| en_wr_39_18_4_5_veb_annotated.conllu     |                   29 |                 6 |                   17.14 |
| en_wr_43_46_10_4_hhf_annotated.conllu    |                   23 |                13 |                   36.11 |
| en_wr_43_32_17_8_seh_annotated.conllu    |                   14 |                 7 |                   33.33 |
| en_wr_33_21_6_4_mam_annotated.conllu     |                   13 |                 8 |                   38.1  |
| en_wr_38_20_8_4_ans_annotated.conllu     |                   12 |                 8 |                   40    |
| en_wr_38_21_8_7_emr1_annotated.conllu    |                   21 |                14 |                   40    |
| en_wr_34_72_3_1_rbm_annotated.conllu     |                   17 |                 7 |                   29.17 |
| en_wr_41_21_7_10_smh_annotated.conllu    |                   11 |                 9 |                   45    |
| en_wr_41_20_7_5_cjj_annotated.conllu     |                   27 |                11 |                   28.95 |
| en_wr_39_34_8_4_bcm_annotated.conllu     |                    9 |                 3 |                   25    |
| en_wr_39_43_0_1_dlfu_annotated.conllu    |                   25 |                19 |                   43.18 |
| en_wr_42_20_6_5_mjs_annotated.conllu     |                   16 |                 3 |                   15.79 |
| en_wr_41_72_8_6_gh_annotated.conllu      |                   15 |                 4 |                   21.05 |
| en_wr_40_21_7_6_sw_annotated.conllu      |                   24 |                10 |                   29.41 |
| en_wr_36_20_2_6_cg_annotated.conllu      |                   28 |                 7 |                   20    |
| en_wr_39_36_-_4_cdk_annotated.conllu     |                   34 |                 8 |                   19.05 |
| en_wr_39_42_5_6_ds_annotated.conllu      |                   18 |                 3 |                   14.29 |
| en_wr_42_20_5_10_lvb_annotated.conllu    |                   18 |                 8 |                   30.77 |
| en_wr_42_51_6_2_lp_annotated.conllu      |                   18 |                 5 |                   21.74 |
| en_wr_41_19_9_2_cm_annotated.conllu      |                   24 |                 6 |                   20    |
| en_wr_37_19_5_5_def_annotated.conllu     |                   26 |                 0 |                    0    |
| en_wr_43_19_10_5_jr_annotated.conllu     |                   10 |                 4 |                   28.57 |
| en_wr_43_26_10_9_jan_annotated.conllu    |                   18 |                 7 |                   28    |
| en_wr_40_22_8_6_ko_annotated.conllu      |                   17 |                 5 |                   22.73 |
| en_wr_42_22_8_1_kw_annotated.conllu      |                   11 |                 7 |                   38.89 |
| en_wr_36_40_2_9_ml_annotated.conllu      |                   14 |                 8 |                   36.36 |
| en_wr_42_26_13_4_jms_annotated.conllu    |                   25 |                 3 |                   10.71 |
| en_wr_41_18_6_5_rmr_annotated.conllu     |                   11 |                 4 |                   26.67 |
| en_wr_39_19_5_6_tgs_annotated.conllu     |                   33 |                 9 |                   21.43 |
| en_wr_36_20_2_4_mmt_annotated.conllu     |                   18 |                 1 |                    5.26 |
| en_wr_43_20_8_4_klh_annotated.conllu     |                   29 |                13 |                   30.95 |
| en_wr_34_17_5_1_mpw_annotated.conllu     |                    7 |                 0 |                    0    |
| en_wr_39_43_4_6_pj_annotated.conllu      |                   14 |                13 |                   48.15 |
| en_wr_41_27_13_1_jg_annotated.conllu     |                   15 |                16 |                   51.61 |
| en_wr_36_23_1_1_da_annotated.conllu      |                   10 |                 7 |                   41.18 |
| en_wr_42_22_5_10_tta_annotated.conllu    |                   24 |                 5 |                   17.24 |
| en_wr_35_22_8_6_kak_annotated.conllu     |                    7 |                10 |                   58.82 |
| en_wr_41_28_15_3_kdh_annotated.conllu    |                   20 |                 5 |                   20    |
| en_wr_39_18_6_3_smm_annotated.conllu     |                   12 |                16 |                   57.14 |
| en_wr_38_21_8_5_llb_annotated.conllu     |                   22 |                 5 |                   18.52 |
| en_wr_39_18_3_5_ajrs_annotated.conllu    |                   27 |                 6 |                   18.18 |
| en_wr_37_30_5_3_pg_annotated.conllu      |                    8 |                 4 |                   33.33 |
| en_wr_34_27_7_2_njf_annotated.conllu     |                   10 |                 9 |                   47.37 |
| en_wr_36_20_7_6_mrf_annotated.conllu     |                   32 |                15 |                   31.91 |
| en_wr_36_25_2_12_cdh_annotated.conllu    |                   14 |                11 |                   44    |
| en_wr_40_20_5_11_sc_annotated.conllu     |                   13 |                 2 |                   13.33 |
| en_wr_43_21_6_10_gmg_annotated.conllu    |                   15 |                10 |                   40    |
| en_wr_42_42_11_11_dmww_annotated.conllu  |                   17 |                 4 |                   19.05 |
| en_wr_38_51_-_1_cmm_annotated.conllu     |                   15 |                 4 |                   21.05 |
| en_wr_37_19_5_4_jem_annotated.conllu     |                   33 |                25 |                   43.1  |
| en_wr_35_54_6_6_asw_annotated.conllu     |                   29 |                 8 |                   21.62 |
| en_wr_36_18_8_5_nb_annotated.conllu      |                   17 |                 7 |                   29.17 |
| en_wr_39_50_3_6_ksc_annotated.conllu     |                   29 |                13 |                   30.95 |
| en_wr_38_19_5_4_le_annotated.conllu      |                   25 |                 2 |                    7.41 |
| en_wr_41_21_8_4_dw_annotated.conllu      |                   14 |                 9 |                   39.13 |
| en_wr_39_19_6_4_jeg_annotated.conllu     |                   11 |                 8 |                   42.11 |
| en_wr_43_33_3_4_cat_annotated.conllu     |                   10 |                 0 |                    0    |
| en_wr_43_26_5_10_lw_annotated.conllu     |                    9 |                 5 |                   35.71 |
| en_wr_36_23_7_4_mlm_annotated.conllu     |                   19 |                 7 |                   26.92 |
| en_wr_42_57_8_6_caa_annotated.conllu     |                    7 |                 5 |                   41.67 |
| en_wr_38_18_6_6_ell-2_annotated.conllu   |                   17 |                16 |                   48.48 |
| en_wr_41_18_5_12_mp_annotated.conllu     |                   22 |                19 |                   46.34 |
| en_wr_38_20_6_5_bez_annotated.conllu     |                   11 |                 1 |                    8.33 |
| en_wr_35_18_11_2_dkf_annotated.conllu    |                   20 |                12 |                   37.5  |
| en_wr_42_21_-_6_egn_annotated.conllu     |                   22 |                 7 |                   24.14 |
| en_wr_36_18_7_6_ejd_annotated.conllu     |                   43 |                 8 |                   15.69 |
| en_wr_38_23_3_5_cnc_annotated.conllu     |                   41 |                 2 |                    4.65 |
| en_wr_40_28_3_12_cen_annotated.conllu    |                   16 |                19 |                   54.29 |
| en_wr_37_21_3_5_jp_annotated.conllu      |                   20 |                12 |                   37.5  |
| en_wr_43_22_8_7_an_annotated.conllu      |                   12 |                 0 |                    0    |
| en_wr_39_22_11_11_ajc_annotated.conllu   |                   12 |                 3 |                   20    |
| en_wr_34_33_-_4_jh_annotated.conllu      |                   12 |                 7 |                   36.84 |
| en_wr_43_33_19_4_bah_annotated.conllu    |                   19 |                11 |                   36.67 |
| en_wr_40_20_15_1_alm_annotated.conllu    |                   15 |                 8 |                   34.78 |
| en_wr_38_20_6_4_aj_annotated.conllu      |                   22 |                 6 |                   21.43 |
| en_wr_40_57_15_3_sme_annotated.conllu    |                    8 |                10 |                   55.56 |
| en_wr_43_56_7_4_rc_annotated.conllu      |                   17 |                 8 |                   32    |
| en_wr_33_22_7_1_per_annotated.conllu     |                   26 |                 4 |                   13.33 |
| en_wr_41_25_8_4_mjjm_annotated.conllu    |                   36 |                 7 |                   16.28 |
| en_wr_42_35_19_9_wdb_annotated.conllu    |                   15 |                11 |                   42.31 |
| en_wr_33_18_5_4_kaa_annotated.conllu     |                   31 |                 7 |                   18.42 |
| en_wr_33_21_8_4_cac_annotated.conllu     |                   12 |                 3 |                   20    |
| en_wr_39_39_7_9_gjg_annotated.conllu     |                   16 |                 6 |                   27.27 |
| en_wr_43_63_0_6_sjh_annotated.conllu     |                   12 |                 3 |                   20    |
| en_wr_41_65_11_4_rsk_annotated.conllu    |                   26 |                 4 |                   13.33 |
| en_wr_43_62_5_7_boh_annotated.conllu     |                   33 |                 9 |                   21.43 |
| en_wr_42_21_8_3_lbk_annotated.conllu     |                    9 |                22 |                   70.97 |
| en_wr_42_22_4_4_led_annotated.conllu     |                   18 |                 4 |                   18.18 |
| en_wr_42_20_4_1_jk_annotated.conllu      |                   22 |                12 |                   35.29 |
| en_wr_38_21_6_4_sed_annotated.conllu     |                   14 |                17 |                   54.84 |
| en_wr_40_19_7_1_mmb_annotated.conllu     |                   23 |                14 |                   37.84 |
| en_wr_33_23_3_1_mbd_annotated.conllu     |                   18 |                14 |                   43.75 |
| en_wr_34_20_7_4_kat_annotated.conllu     |                   21 |                17 |                   44.74 |
| en_wr_39_16_12_7_sms_annotated.conllu    |                    7 |                10 |                   58.82 |
| en_wr_37_21_11_5_mar_annotated.conllu    |                   10 |                 3 |                   23.08 |
| en_wr_38_20_5_3_el_annotated.conllu      |                   13 |                 3 |                   18.75 |
| en_wr_41_23_11_6_tb_annotated.conllu     |                   21 |                 2 |                    8.7  |
| en_wr_39_17_3_4_mfv_annotated.conllu     |                   15 |                 7 |                   31.82 |
| en_wr_43_63_25_1_djl_annotated.conllu    |                   17 |                12 |                   41.38 |
| en_wr_41_34_22_4_kcc_annotated.conllu    |                   40 |                 4 |                    9.09 |
| en_wr_38_20_7_3_amk_annotated.conllu     |                   23 |                13 |                   36.11 |
| en_wr_36_20_2_9_ajn_annotated.conllu     |                   17 |                 4 |                   19.05 |
| en_wr_41_32_3_7_acm_annotated.conllu     |                   30 |                 9 |                   23.08 |
| en_wr_43_28_8_7_kem_annotated.conllu     |                   33 |                 6 |                   15.38 |
| en_wr_40_21_11_4_kmh_annotated.conllu    |                   41 |                10 |                   19.61 |
| en_wr_34_18_7_5_vh_annotated.conllu      |                   19 |                 1 |                    5    |
| en_wr_41_20_6_4_bz_annotated.conllu      |                   12 |                12 |                   50    |
| en_wr_36_39_8_5_dds_annotated.conllu     |                   22 |                 4 |                   15.38 |
| en_wr_36_55_4_1_sjf_annotated.conllu     |                   22 |                 6 |                   21.43 |
| en_wr_37_53_7_1_cmc_annotated.conllu     |                   33 |                17 |                   34    |
| en_wr_33_17_5_2_mlm_annotated.conllu     |                   14 |                17 |                   54.84 |
| en_wr_42_21_11_6_cpb_annotated.conllu    |                   21 |                 5 |                   19.23 |
| en_wr_35_19_6_4_arm_annotated.conllu     |                   35 |                15 |                   30    |
| en_wr_39_25_2_3_acc_annotated.conllu     |                   14 |                 8 |                   36.36 |
| en_wr_41_65_25_1_jlf_annotated.conllu    |                   16 |                15 |                   48.39 |
| en_wr_40_20_7_6_klr_annotated.conllu     |                   35 |                 9 |                   20.45 |
| en_wr_41_30_10_4_wd_annotated.conllu     |                   32 |                 5 |                   13.51 |
| en_wr_38_18_6_2_ef_annotated.conllu      |                   27 |                 9 |                   25    |
| en_wr_35_19_4_6_sr_annotated.conllu      |                    9 |                 7 |                   43.75 |
| en_wr_42_25_8_5_rb_annotated.conllu      |                   21 |                 4 |                   16    |
| en_wr_43_26_9_4_krt_annotated.conllu     |                   30 |                 4 |                   11.76 |
| en_wr_43_30_17_1_cyc_annotated.conllu    |                   28 |                 3 |                    9.68 |
| en_wr_35_19_8_10_bjm_annotated.conllu    |                   13 |                11 |                   45.83 |
| en_wr_36_21_7_5_af_annotated.conllu      |                   30 |                 3 |                    9.09 |
| en_wr_41_25_8_6_scb_annotated.conllu     |                   22 |                 6 |                   21.43 |
| en_wr_39_58_2_5_bl_annotated.conllu      |                   19 |                 7 |                   26.92 |
| en_wr_40_20_5_3_cco_annotated.conllu     |                   15 |                10 |                   40    |
| en_wr_34_18_7_1_kcg_annotated.conllu     |                   21 |                14 |                   40    |
| en_wr_41_50_2_4_ddd_annotated.conllu     |                   37 |                 4 |                    9.76 |
| en_wr_36_18_3_5_las_annotated.conllu     |                   40 |                 8 |                   16.67 |
| en_wr_41_26_4_10_ksd_annotated.conllu    |                   13 |                12 |                   48    |
| en_wr_35_30_0_3_clr_annotated.conllu     |                   17 |                 4 |                   19.05 |
| en_wr_34_18_5_1_knj_annotated.conllu     |                    5 |                 6 |                   54.55 |
| en_wr_38_24_6_1_mv_annotated.conllu      |                   18 |                 0 |                    0    |
| en_wr_35_20_9_1_faquel_annotated.conllu  |                    8 |                10 |                   55.56 |
| en_wr_41_38_1_1_kls_annotated.conllu     |                   17 |                 5 |                   22.73 |
| en_wr_41_52_3_4_nsh_annotated.conllu     |                   18 |                 6 |                   25    |
| en_wr_42_47_6_10_aba_annotated.conllu    |                   16 |                 8 |                   33.33 |
| en_wr_37_20_8_6_dm_annotated.conllu      |                   15 |                 5 |                   25    |
| en_wr_36_42_5_1_lmm_annotated.conllu     |                   31 |                 8 |                   20.51 |
| en_wr_34_19_5_6_fw_annotated.conllu      |                   28 |                10 |                   26.32 |
| en_wr_41_30_8_3_jm_annotated.conllu      |                    9 |                 6 |                   40    |
| en_wr_37_20_5_4_az_annotated.conllu      |                   23 |                 6 |                   20.69 |
| en_wr_36_17_3_4_er_annotated.conllu      |                   35 |                20 |                   36.36 |
| en_wr_37_18_6_5_rjh_annotated.conllu     |                   20 |                 7 |                   25.93 |
| en_wr_40_21_7_7_cmh_annotated.conllu     |                   12 |                15 |                   55.56 |
| en_wr_38_19_5_3_kd_annotated.conllu      |                   13 |                12 |                   48    |
| en_wr_37_20_6_4_by_annotated.conllu      |                   18 |                18 |                   50    |
| en_wr_41_37_12_3_cjd_annotated.conllu    |                   22 |                13 |                   37.14 |
| en_wr_37_19_-_1_ab_annotated.conllu      |                   15 |                 4 |                   21.05 |
| en_wr_43_27_13_5_mey_annotated.conllu    |                   27 |                 4 |                   12.9  |
| en_wr_33_22_9_1_rb_annotated.conllu      |                    6 |                 3 |                   33.33 |
| en_wr_36_20_6_4_prh_annotated.conllu     |                   14 |                 5 |                   26.32 |
| en_wr_36_32_5_1_db_annotated.conllu      |                   24 |                 5 |                   17.24 |
| en_wr_43_33_3_11_jah_annotated.conllu    |                   13 |                 9 |                   40.91 |
| en_wr_33_20_2_6_jm_annotated.conllu      |                   30 |                 8 |                   21.05 |
| en_wr_38_19_6_6_pkb_annotated.conllu     |                   26 |                 9 |                   25.71 |
| en_wr_36_25_4_5_sg_annotated.conllu      |                   25 |                 2 |                    7.41 |
| en_wr_34_20_4_6_vad_annotated.conllu     |                    6 |                 1 |                   14.29 |
| en_wr_37_48_6_1_ns_annotated.conllu      |                   10 |                 2 |                   16.67 |
| en_wr_40_27_12_4_mk_annotated.conllu     |                   11 |                 5 |                   31.25 |
| en_wr_41_56_5_5_ckb_annotated.conllu     |                   36 |                11 |                   23.4  |
